timestep,x_smoothed_0,P_smoothed_0_0
856,5.3568,0.0780869
857,5.21287,0.0780869
858,5.15879,0.0780869
859,5.09126,0.0780869
860,5.10075,0.0780869
861,5.03979,0.0780869
862,5.03168,0.0780869
863,5.04704,0.0780869
864,5.0464,0.0780869
865,5.01103,0.0780869
866,5.12395,0.0780869
867,5.20518,0.0780869
868,5.26357,0.0780869
869,5.37766,0.0780869
870,5.52112,0.0780869
871,5.65884,0.0780869
872,5.75099,0.0780869
873,5.82751,0.0780869
874,5.80679,0.0780869
875,5.73254,0.0780869
876,5.81466,0.0780869
877,5.87406,0.0780869
878,5.8672,0.0780869
879,5.95408,0.0780869
880,6.08766,0.0780869
881,6.24833,0.0780869
882,6.3172,0.0780869
883,6.36464,0.0780869
884,6.49006,0.0780869
885,6.4534,0.0780869
886,6.5083,0.0780869
887,6.5338,0.0780869
888,6.51899,0.0780869
889,6.52777,0.0780869
890,6.51782,0.0780869
891,6.52535,0.0780869
892,6.4954,0.0780869
893,6.46246,0.0780869
894,6.44636,0.0780869
895,6.37859,0.0780869
896,6.34306,0.0780869
897,6.32764,0.0780869
898,6.30901,0.0780869
899,6.35343,0.0780869
900,6.30634,0.0780869
901,6.45685,0.0780869
902,6.63972,0.0780869
903,6.74658,0.0780869
904,6.89956,0.0780869
905,6.91817,0.0780869
906,6.94745,0.0780869
907,6.81797,0.0780869
908,6.79315,0.0780869
909,6.84609,0.0780869
910,6.89089,0.0780869
911,6.85241,0.0780869
912,6.8162,0.0780869
913,6.86662,0.0780869
914,6.94194,0.0780869
915,6.99214,0.0780869
916,7.03588,0.0780869
917,7.13853,0.0780869
918,7.26708,0.0780869
919,7.25826,0.0780869
920,7.29227,0.0780869
921,7.26282,0.0780869
922,7.19108,0.0780869
923,7.12891,0.0780869
924,7.20282,0.0780869
925,7.25481,0.0780869
926,7.25763,0.0780869
927,7.2504,0.0780869
928,7.29954,0.0780869
929,7.35071,0.0780869
930,7.34867,0.0780869
931,7.37865,0.0780869
932,7.41911,0.0780869
933,7.41025,0.0780869
934,7.3465,0.0780869
935,7.37017,0.0780869
936,7.40729,0.0780869
937,7.37516,0.0780869
938,7.36354,0.0780869
939,7.40897,0.0780869
940,7.42029,0.0780869
941,7.36167,0.0780869
942,7.36848,0.0780869
943,7.37601,0.0780869
944,7.32537,0.0780869
945,7.35048,0.0780869
946,7.29258,0.0780869
947,7.23467,0.0780869
948,7.27566,0.0780869
